	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
OG0040340					TURN.05g148100.m01.polypeptide							
OG0040341					TURN.05g148150.m01.polypeptide							
OG0040342					TURN.05g148270.m01.polypeptide							
OG0040343					TURN.05g148330.m01.polypeptide							
OG0040344					TURN.05g148390.m01.polypeptide							
OG0040345					TURN.05g148450.m01.polypeptide							
OG0040346					TURN.05g148750.m01.polypeptide							
OG0040347					TURN.05g148810.m01.polypeptide							
OG0040348					TURN.05g148980.m01.polypeptide							
OG0040349					TURN.05g148990.m01.polypeptide							
OG0040350					TURN.06g149440.m01.polypeptide							
OG0040351					TURN.06g149580.m01.polypeptide							
OG0040352					TURN.06g149610.m01.polypeptide							
OG0040353					TURN.06g149680.m01.polypeptide							
OG0040354					TURN.06g149890.m01.polypeptide							
OG0040355					TURN.06g149910.m01.polypeptide							
OG0040356					TURN.06g150120.m01.polypeptide							
OG0040357					TURN.06g150330.m01.polypeptide							
OG0040358					TURN.06g150350.m01.polypeptide							
OG0040359					TURN.06g150650.m01.polypeptide							
OG0040360					TURN.06g151070.m01.polypeptide							
OG0040361					TURN.06g151080.m01.polypeptide							
OG0040362					TURN.06g151110.m01.polypeptide							
OG0040363					TURN.06g151310.m01.polypeptide							
OG0040364					TURN.06g151440.m01.polypeptide							
OG0040365					TURN.06g151470.m01.polypeptide							
OG0040366					TURN.06g151590.m01.polypeptide							
OG0040367					TURN.06g151720.m01.polypeptide							
OG0040368					TURN.06g151880.m01.polypeptide							
OG0040369					TURN.06g151980.m01.polypeptide							
OG0040370					TURN.06g152020.m01.polypeptide							
OG0040371					TURN.06g152130.m01.polypeptide							
OG0040372					TURN.06g152160.m01.polypeptide							
OG0040373					TURN.06g152350.m01.polypeptide							
OG0040374					TURN.06g152360.m01.polypeptide							
OG0040375					TURN.06g152410.m01.polypeptide							
OG0040376					TURN.06g152680.m01.polypeptide							
OG0040377					TURN.06g152730.m01.polypeptide							
OG0040378					TURN.06g152830.m01.polypeptide							
OG0040379					TURN.06g152900.m01.polypeptide							
OG0040380					TURN.06g152940.m01.polypeptide							
OG0040381					TURN.06g153070.m01.polypeptide							
OG0040382					TURN.06g153100.m01.polypeptide							
OG0040383					TURN.06g153210.m01.polypeptide							
OG0040384					TURN.06g153240.m01.polypeptide							
OG0040385					TURN.06g153250.m01.polypeptide							
OG0040386					TURN.06g153370.m01.polypeptide							
OG0040387					TURN.06g153430.m01.polypeptide							
OG0040388					TURN.06g153600.m01.polypeptide							
OG0040389					TURN.06g153610.m01.polypeptide							
OG0040390					TURN.06g153690.m01.polypeptide							
OG0040391					TURN.06g153700.m01.polypeptide							
OG0040392					TURN.06g153750.m01.polypeptide							
OG0040393					TURN.06g153810.m01.polypeptide							
OG0040394					TURN.06g153840.m01.polypeptide							
OG0040395					TURN.06g154080.m01.polypeptide							
OG0040396					TURN.06g154150.m01.polypeptide							
OG0040397					TURN.06g154190.m01.polypeptide							
OG0040398					TURN.06g154280.m01.polypeptide							
OG0040399					TURN.06g154300.m01.polypeptide							
OG0040400					TURN.06g154350.m01.polypeptide							
OG0040401					TURN.06g154420.m01.polypeptide							
OG0040402					TURN.06g154470.m01.polypeptide							
OG0040403					TURN.06g154480.m01.polypeptide							
OG0040404					TURN.06g154560.m01.polypeptide							
OG0040405					TURN.06g154740.m01.polypeptide							
OG0040406					TURN.06g154790.m01.polypeptide							
OG0040407					TURN.06g155230.m01.polypeptide							
OG0040408					TURN.06g155280.m01.polypeptide							
OG0040409					TURN.06g155300.m01.polypeptide							
OG0040410					TURN.06g155310.m01.polypeptide							
OG0040411					TURN.06g155320.m01.polypeptide							
OG0040412					TURN.06g155340.m01.polypeptide							
OG0040413					TURN.06g155350.m01.polypeptide							
OG0040414					TURN.06g155360.m01.polypeptide							
OG0040415					TURN.06g155480.m01.polypeptide							
OG0040416					TURN.06g155490.m01.polypeptide							
OG0040417					TURN.06g155610.m01.polypeptide							
OG0040418					TURN.06g156050.m01.polypeptide							
OG0040419					TURN.06g156060.m01.polypeptide							
OG0040420					TURN.06g156170.m01.polypeptide							
OG0040421					TURN.06g156410.m01.polypeptide							
OG0040422					TURN.06g156450.m01.polypeptide							
OG0040423					TURN.06g156540.m01.polypeptide							
OG0040424					TURN.06g156650.m01.polypeptide							
OG0040425					TURN.06g156780.m01.polypeptide							
OG0040426					TURN.06g156810.m01.polypeptide							
OG0040427					TURN.06g157020.m01.polypeptide							
OG0040428					TURN.06g157160.m01.polypeptide							
OG0040429					TURN.06g157410.m01.polypeptide							
OG0040430					TURN.06g157480.m01.polypeptide							
OG0040431					TURN.06g157580.m01.polypeptide							
OG0040432					TURN.06g157650.m01.polypeptide							
OG0040433					TURN.06g158060.m01.polypeptide							
OG0040434					TURN.06g158070.m01.polypeptide							
OG0040435					TURN.06g158280.m01.polypeptide							
OG0040436					TURN.06g158380.m01.polypeptide							
OG0040437					TURN.06g158550.m01.polypeptide							
OG0040438					TURN.06g158600.m01.polypeptide							
OG0040439					TURN.06g158800.m01.polypeptide							
OG0040440					TURN.06g158940.m01.polypeptide							
OG0040441					TURN.06g158960.m01.polypeptide							
OG0040442					TURN.06g159260.m01.polypeptide							
OG0040443					TURN.06g159300.m01.polypeptide							
OG0040444					TURN.06g159350.m01.polypeptide							
OG0040445					TURN.06g159410.m01.polypeptide							
OG0040446					TURN.06g159440.m01.polypeptide							
OG0040447					TURN.06g159530.m01.polypeptide							
OG0040448					TURN.06g159660.m01.polypeptide							
OG0040449					TURN.06g159680.m01.polypeptide							
OG0040450					TURN.06g159730.m01.polypeptide							
OG0040451					TURN.06g159750.m01.polypeptide							
OG0040452					TURN.06g159820.m01.polypeptide							
OG0040453					TURN.06g159840.m01.polypeptide							
OG0040454					TURN.06g159870.m01.polypeptide							
OG0040455					TURN.06g159920.m01.polypeptide							
OG0040456					TURN.06g159990.m01.polypeptide							
OG0040457					TURN.06g160220.m01.polypeptide							
OG0040458					TURN.06g160280.m01.polypeptide							
OG0040459					TURN.06g160380.m01.polypeptide							
OG0040460					TURN.06g160400.m01.polypeptide							
OG0040461					TURN.06g160490.m01.polypeptide							
OG0040462					TURN.06g160540.m01.polypeptide							
OG0040463					TURN.06g160550.m01.polypeptide							
OG0040464					TURN.06g160680.m01.polypeptide							
OG0040465					TURN.06g160710.m01.polypeptide							
OG0040466					TURN.06g160750.m01.polypeptide							
OG0040467					TURN.06g160840.m01.polypeptide							
OG0040468					TURN.06g161100.m01.polypeptide							
OG0040469					TURN.06g161120.m01.polypeptide							
OG0040470					TURN.06g161180.m01.polypeptide							
OG0040471					TURN.06g161500.m01.polypeptide							
OG0040472					TURN.06g161630.m01.polypeptide							
OG0040473					TURN.06g161660.m01.polypeptide							
OG0040474					TURN.06g161820.m01.polypeptide							
OG0040475					TURN.06g161970.m01.polypeptide							
OG0040476					TURN.06g161990.m01.polypeptide							
OG0040477					TURN.06g162040.m01.polypeptide							
OG0040478					TURN.06g162290.m01.polypeptide							
OG0040479					TURN.06g162300.m01.polypeptide							
OG0040480					TURN.06g162430.m01.polypeptide							
OG0040481					TURN.06g162500.m01.polypeptide							
OG0040482					TURN.06g162520.m01.polypeptide							
OG0040483					TURN.06g162590.m01.polypeptide							
OG0040484					TURN.06g162650.m01.polypeptide							
OG0040485					TURN.06g162990.m01.polypeptide							
OG0040486					TURN.06g163020.m01.polypeptide							
OG0040487					TURN.06g163140.m01.polypeptide							
OG0040488					TURN.06g163160.m01.polypeptide							
OG0040489					TURN.06g163370.m01.polypeptide							
OG0040490					TURN.06g163530.m01.polypeptide							
OG0040491					TURN.06g163580.m01.polypeptide							
OG0040492					TURN.06g163610.m01.polypeptide							
OG0040493					TURN.06g163710.m01.polypeptide							
OG0040494					TURN.06g163870.m01.polypeptide							
OG0040495					TURN.06g163890.m01.polypeptide							
OG0040496					TURN.06g164060.m01.polypeptide							
OG0040497					TURN.06g164100.m01.polypeptide							
OG0040498					TURN.06g164110.m01.polypeptide							
OG0040499					TURN.06g164170.m01.polypeptide							
OG0040500					TURN.06g164200.m01.polypeptide							
OG0040501					TURN.06g164210.m01.polypeptide							
OG0040502					TURN.06g164220.m01.polypeptide							
OG0040503					TURN.06g164230.m01.polypeptide							
OG0040504					TURN.06g164240.m01.polypeptide							
OG0040505					TURN.06g164390.m01.polypeptide							
OG0040506					TURN.06g164540.m01.polypeptide							
OG0040507					TURN.06g164570.m01.polypeptide							
OG0040508					TURN.06g164620.m01.polypeptide							
OG0040509					TURN.06g164740.m01.polypeptide							
OG0040510					TURN.06g164800.m01.polypeptide							
OG0040511					TURN.06g164930.m01.polypeptide							
OG0040512					TURN.06g165040.m01.polypeptide							
OG0040513					TURN.06g165090.m01.polypeptide							
OG0040514					TURN.06g165160.m01.polypeptide							
OG0040515					TURN.06g165180.m01.polypeptide							
OG0040516					TURN.06g165240.m01.polypeptide							
OG0040517					TURN.06g165270.m01.polypeptide							
OG0040518					TURN.06g165430.m01.polypeptide							
OG0040519					TURN.06g165440.m01.polypeptide							
OG0040520					TURN.06g165580.m01.polypeptide							
OG0040521					TURN.06g165750.m01.polypeptide							
OG0040522					TURN.06g165920.m01.polypeptide							
OG0040523					TURN.06g165950.m01.polypeptide							
OG0040524					TURN.06g166000.m01.polypeptide							
OG0040525					TURN.06g166030.m01.polypeptide							
OG0040526					TURN.06g166190.m01.polypeptide							
OG0040527					TURN.06g166260.m01.polypeptide							
OG0040528					TURN.06g166280.m01.polypeptide							
OG0040529					TURN.06g166350.m01.polypeptide							
OG0040530					TURN.06g166410.m01.polypeptide							
OG0040531					TURN.06g166610.m01.polypeptide							
OG0040532					TURN.06g166660.m01.polypeptide							
OG0040533					TURN.06g166730.m01.polypeptide							
OG0040534					TURN.06g166960.m01.polypeptide							
OG0040535					TURN.06g166970.m01.polypeptide							
OG0040536					TURN.06g166990.m01.polypeptide							
OG0040537					TURN.06g167420.m01.polypeptide							
OG0040538					TURN.06g167430.m01.polypeptide							
OG0040539					TURN.06g167690.m01.polypeptide							
OG0040540					TURN.06g167870.m01.polypeptide							
OG0040541					TURN.06g168510.m01.polypeptide							
OG0040542					TURN.06g168560.m01.polypeptide							
OG0040543					TURN.06g168600.m01.polypeptide							
OG0040544					TURN.06g168660.m01.polypeptide							
OG0040545					TURN.06g168760.m01.polypeptide							
OG0040546					TURN.06g169000.m01.polypeptide							
OG0040547					TURN.06g169090.m01.polypeptide							
OG0040548					TURN.06g169150.m01.polypeptide							
OG0040549					TURN.06g169160.m01.polypeptide							
OG0040550					TURN.06g169180.m01.polypeptide							
OG0040551					TURN.06g169190.m01.polypeptide							
OG0040552					TURN.06g169300.m01.polypeptide							
OG0040553					TURN.06g169400.m01.polypeptide							
OG0040554					TURN.06g169420.m01.polypeptide							
OG0040555					TURN.06g169550.m01.polypeptide							
OG0040556					TURN.06g169750.m01.polypeptide							
OG0040557					TURN.06g169850.m01.polypeptide							
OG0040558					TURN.06g169990.m01.polypeptide							
OG0040559					TURN.06g170040.m01.polypeptide							
OG0040560					TURN.06g170080.m01.polypeptide							
OG0040561					TURN.06g170170.m01.polypeptide							
OG0040562					TURN.06g170220.m01.polypeptide							
OG0040563					TURN.06g170790.m01.polypeptide							
OG0040564					TURN.06g170980.m01.polypeptide							
OG0040565					TURN.06g171000.m01.polypeptide							
OG0040566					TURN.06g171120.m01.polypeptide							
OG0040567					TURN.06g171130.m01.polypeptide							
OG0040568					TURN.06g171240.m01.polypeptide							
OG0040569					TURN.06g171310.m01.polypeptide							
OG0040570					TURN.06g171320.m01.polypeptide							
OG0040571					TURN.06g171470.m01.polypeptide							
OG0040572					TURN.06g171540.m01.polypeptide							
OG0040573					TURN.06g171560.m01.polypeptide							
OG0040574					TURN.06g171640.m01.polypeptide							
OG0040575					TURN.06g171680.m01.polypeptide							
OG0040576					TURN.06g171740.m01.polypeptide							
OG0040577					TURN.06g171840.m01.polypeptide							
OG0040578					TURN.06g171860.m01.polypeptide							
OG0040579					TURN.06g171910.m01.polypeptide							
OG0040580					TURN.06g171980.m01.polypeptide							
OG0040581					TURN.06g172130.m01.polypeptide							
OG0040582					TURN.06g172160.m01.polypeptide							
OG0040583					TURN.06g172220.m01.polypeptide							
OG0040584					TURN.06g172240.m01.polypeptide							
OG0040585					TURN.06g172350.m01.polypeptide							
OG0040586					TURN.06g173200.m01.polypeptide							
OG0040587					TURN.06g173490.m01.polypeptide							
OG0040588					TURN.06g173550.m01.polypeptide							
OG0040589					TURN.06g173620.m01.polypeptide							
OG0040590					TURN.06g173730.m01.polypeptide							
OG0040591					TURN.06g174010.m01.polypeptide							
OG0040592					TURN.06g174060.m01.polypeptide							
OG0040593					TURN.06g174270.m01.polypeptide							
OG0040594					TURN.06g174310.m01.polypeptide							
OG0040595					TURN.06g174430.m01.polypeptide							
OG0040596					TURN.06g174470.m01.polypeptide							
OG0040597					TURN.06g174600.m01.polypeptide							
OG0040598					TURN.06g174870.m01.polypeptide							
OG0040599					TURN.06g175150.m01.polypeptide							
OG0040600					TURN.06g175210.m01.polypeptide							
OG0040601					TURN.06g175460.m01.polypeptide							
OG0040602					TURN.06g175760.m01.polypeptide							
OG0040603					TURN.06g175780.m01.polypeptide							
OG0040604					TURN.06g175800.m01.polypeptide							
OG0040605					TURN.06g175960.m01.polypeptide							
OG0040606					TURN.06g176050.m01.polypeptide							
OG0040607					TURN.06g176080.m01.polypeptide							
OG0040608					TURN.06g176090.m01.polypeptide							
OG0040609					TURN.06g176250.m01.polypeptide							
OG0040610					TURN.06g176270.m01.polypeptide							
OG0040611					TURN.06g176290.m01.polypeptide							
OG0040612					TURN.07g176760.m01.polypeptide							
OG0040613					TURN.07g177520.m01.polypeptide							
OG0040614					TURN.07g177600.m01.polypeptide							
OG0040615					TURN.07g177620.m01.polypeptide							
OG0040616					TURN.07g177730.m01.polypeptide							
OG0040617					TURN.07g177790.m01.polypeptide							
OG0040618					TURN.07g178020.m01.polypeptide							
OG0040619					TURN.07g178070.m01.polypeptide							
OG0040620					TURN.07g178140.m01.polypeptide							
OG0040621					TURN.07g178190.m01.polypeptide							
OG0040622					TURN.07g178670.m01.polypeptide							
OG0040623					TURN.07g178680.m01.polypeptide							
OG0040624					TURN.07g178690.m01.polypeptide							
OG0040625					TURN.07g178900.m01.polypeptide							
OG0040626					TURN.07g178960.m01.polypeptide							
OG0040627					TURN.07g179190.m01.polypeptide							
OG0040628					TURN.07g179470.m01.polypeptide							
OG0040629					TURN.07g179540.m01.polypeptide							
OG0040630					TURN.07g179570.m01.polypeptide							
OG0040631					TURN.07g179610.m01.polypeptide							
OG0040632					TURN.07g179710.m01.polypeptide							
OG0040633					TURN.07g179760.m01.polypeptide							
OG0040634					TURN.07g179820.m01.polypeptide							
OG0040635					TURN.07g179910.m01.polypeptide							
OG0040636					TURN.07g180040.m01.polypeptide							
OG0040637					TURN.07g180050.m01.polypeptide							
OG0040638					TURN.07g180060.m01.polypeptide							
OG0040639					TURN.07g180300.m01.polypeptide							
OG0040640					TURN.07g181170.m01.polypeptide							
OG0040641					TURN.07g181190.m01.polypeptide							
OG0040642					TURN.07g181200.m01.polypeptide							
OG0040643					TURN.07g181690.m01.polypeptide							
OG0040644					TURN.07g181700.m01.polypeptide							
OG0040645					TURN.07g181710.m01.polypeptide							
OG0040646					TURN.07g181720.m01.polypeptide							
OG0040647					TURN.07g181840.m01.polypeptide							
OG0040648					TURN.07g181950.m01.polypeptide							
OG0040649					TURN.07g182110.m01.polypeptide							
OG0040650					TURN.07g182120.m01.polypeptide							
OG0040651					TURN.07g182210.m01.polypeptide							
OG0040652					TURN.07g182290.m01.polypeptide							
OG0040653					TURN.07g182310.m01.polypeptide							
OG0040654					TURN.07g182320.m01.polypeptide							
OG0040655					TURN.07g182490.m01.polypeptide							
OG0040656					TURN.07g182530.m01.polypeptide							
OG0040657					TURN.07g182760.m01.polypeptide							
OG0040658					TURN.07g182840.m01.polypeptide							
OG0040659					TURN.07g183080.m01.polypeptide							
OG0040660					TURN.07g183170.m01.polypeptide							
OG0040661					TURN.07g183190.m01.polypeptide							
OG0040662					TURN.07g183350.m01.polypeptide							
OG0040663					TURN.07g183390.m01.polypeptide							
OG0040664					TURN.07g183470.m01.polypeptide							
OG0040665					TURN.07g183480.m01.polypeptide							
OG0040666					TURN.07g183730.m01.polypeptide							
OG0040667					TURN.07g183790.m01.polypeptide							
OG0040668					TURN.07g183890.m01.polypeptide							
OG0040669					TURN.07g183910.m01.polypeptide							
OG0040670					TURN.07g184020.m01.polypeptide							
OG0040671					TURN.07g184080.m01.polypeptide							
OG0040672					TURN.07g184140.m01.polypeptide							
OG0040673					TURN.07g184170.m01.polypeptide							
OG0040674					TURN.07g184200.m01.polypeptide							
OG0040675					TURN.07g184280.m01.polypeptide							
OG0040676					TURN.07g184300.m01.polypeptide							
OG0040677					TURN.07g184340.m01.polypeptide							
OG0040678					TURN.07g184370.m01.polypeptide							
OG0040679					TURN.07g184520.m01.polypeptide							
OG0040680					TURN.07g184540.m01.polypeptide							
OG0040681					TURN.07g184600.m01.polypeptide							
OG0040682					TURN.07g184620.m01.polypeptide							
OG0040683					TURN.07g184720.m01.polypeptide							
OG0040684					TURN.07g185020.m01.polypeptide							
OG0040685					TURN.07g185030.m01.polypeptide							
OG0040686					TURN.07g185060.m01.polypeptide							
OG0040687					TURN.07g185090.m01.polypeptide							
OG0040688					TURN.07g185100.m01.polypeptide							
OG0040689					TURN.07g185470.m01.polypeptide							
OG0040690					TURN.07g185560.m01.polypeptide							
OG0040691					TURN.07g185580.m01.polypeptide							
OG0040692					TURN.07g185680.m01.polypeptide							
OG0040693					TURN.07g185810.m01.polypeptide							
OG0040694					TURN.07g185850.m01.polypeptide							
OG0040695					TURN.07g186060.m01.polypeptide							
OG0040696					TURN.07g186070.m01.polypeptide							
OG0040697					TURN.07g186110.m01.polypeptide							
OG0040698					TURN.07g186170.m01.polypeptide							
OG0040699					TURN.07g186190.m01.polypeptide							
OG0040700					TURN.07g186480.m01.polypeptide							
OG0040701					TURN.07g186540.m01.polypeptide							
OG0040702					TURN.07g186550.m01.polypeptide							
OG0040703					TURN.07g186600.m01.polypeptide							
OG0040704					TURN.07g186680.m01.polypeptide							
OG0040705					TURN.07g186810.m01.polypeptide							
OG0040706					TURN.07g186830.m01.polypeptide							
OG0040707					TURN.07g186840.m01.polypeptide							
OG0040708					TURN.07g186970.m01.polypeptide							
OG0040709					TURN.07g187070.m01.polypeptide							
OG0040710					TURN.07g187120.m01.polypeptide							
OG0040711					TURN.07g187190.m01.polypeptide							
OG0040712					TURN.07g187200.m01.polypeptide							
OG0040713					TURN.07g187430.m01.polypeptide							
OG0040714					TURN.07g187550.m01.polypeptide							
OG0040715					TURN.07g187690.m01.polypeptide							
OG0040716					TURN.07g187760.m01.polypeptide							
OG0040717					TURN.07g187920.m01.polypeptide							
OG0040718					TURN.07g188010.m01.polypeptide							
OG0040719					TURN.07g188120.m01.polypeptide							
OG0040720					TURN.07g188140.m01.polypeptide							
OG0040721					TURN.07g188450.m01.polypeptide							
OG0040722					TURN.07g188480.m01.polypeptide							
OG0040723					TURN.07g188500.m01.polypeptide							
OG0040724					TURN.07g188510.m01.polypeptide							
OG0040725					TURN.07g188520.m01.polypeptide							
OG0040726					TURN.07g188530.m01.polypeptide							
OG0040727					TURN.07g188570.m01.polypeptide							
OG0040728					TURN.07g188700.m01.polypeptide							
OG0040729					TURN.07g189090.m01.polypeptide							
OG0040730					TURN.07g189110.m01.polypeptide							
OG0040731					TURN.07g189500.m01.polypeptide							
OG0040732					TURN.07g189820.m01.polypeptide							
OG0040733					TURN.07g189870.m01.polypeptide							
OG0040734					TURN.07g190130.m01.polypeptide							
OG0040735					TURN.07g190140.m01.polypeptide							
OG0040736					TURN.07g190150.m01.polypeptide							
OG0040737					TURN.07g190340.m01.polypeptide							
OG0040738					TURN.07g190650.m01.polypeptide							
OG0040739					TURN.07g190700.m01.polypeptide							
OG0040740					TURN.07g190730.m01.polypeptide							
OG0040741					TURN.07g190800.m01.polypeptide							
OG0040742					TURN.07g190870.m01.polypeptide							
OG0040743					TURN.07g190920.m01.polypeptide							
OG0040744					TURN.07g191000.m01.polypeptide							
OG0040745					TURN.07g191050.m01.polypeptide							
OG0040746					TURN.07g191070.m01.polypeptide							
OG0040747					TURN.07g191110.m01.polypeptide							
OG0040748					TURN.07g191370.m01.polypeptide							
OG0040749					TURN.07g191690.m01.polypeptide							
OG0040750					TURN.07g191720.m01.polypeptide							
OG0040751					TURN.07g191850.m01.polypeptide							
OG0040752					TURN.07g192120.m01.polypeptide							
OG0040753					TURN.07g192150.m01.polypeptide							
OG0040754					TURN.07g192300.m01.polypeptide							
OG0040755					TURN.07g192470.m01.polypeptide							
OG0040756					TURN.07g192490.m01.polypeptide							
OG0040757					TURN.07g192500.m01.polypeptide							
OG0040758					TURN.07g192910.m01.polypeptide							
OG0040759					TURN.07g192940.m01.polypeptide							
OG0040760					TURN.07g192980.m01.polypeptide							
OG0040761					TURN.07g193130.m01.polypeptide							
OG0040762					TURN.07g193190.m01.polypeptide							
OG0040763					TURN.07g193310.m01.polypeptide							
OG0040764					TURN.07g193370.m01.polypeptide							
OG0040765					TURN.07g193440.m01.polypeptide							
OG0040766					TURN.07g193480.m01.polypeptide							
OG0040767					TURN.07g193670.m01.polypeptide							
OG0040768					TURN.07g193680.m01.polypeptide							
OG0040769					TURN.07g194090.m01.polypeptide							
OG0040770					TURN.07g194250.m01.polypeptide							
OG0040771					TURN.07g194350.m01.polypeptide							
OG0040772					TURN.07g194500.m01.polypeptide							
OG0040773					TURN.07g194540.m01.polypeptide							
OG0040774					TURN.07g194640.m01.polypeptide							
OG0040775					TURN.07g194680.m01.polypeptide							
OG0040776					TURN.07g195270.m01.polypeptide							
OG0040777					TURN.07g195290.m01.polypeptide							
OG0040778					TURN.07g195370.m01.polypeptide							
OG0040779					TURN.07g195460.m01.polypeptide							
OG0040780					TURN.07g195730.m01.polypeptide							
OG0040781					TURN.07g195760.m01.polypeptide							
OG0040782					TURN.07g195850.m01.polypeptide							
OG0040783					TURN.07g195940.m01.polypeptide							
OG0040784					TURN.07g195950.m01.polypeptide							
OG0040785					TURN.07g195960.m01.polypeptide							
OG0040786					TURN.07g196000.m01.polypeptide							
OG0040787					TURN.07g196290.m01.polypeptide							
OG0040788					TURN.07g196370.m01.polypeptide							
OG0040789					TURN.07g196450.m01.polypeptide							
OG0040790					TURN.07g196530.m01.polypeptide							
OG0040791					TURN.07g196590.m01.polypeptide							
OG0040792					TURN.07g196760.m01.polypeptide							
OG0040793					TURN.07g197300.m01.polypeptide							
OG0040794					TURN.07g197320.m01.polypeptide							
OG0040795					TURN.07g197390.m01.polypeptide							
OG0040796					TURN.07g197630.m01.polypeptide							
OG0040797					TURN.07g197930.m01.polypeptide							
OG0040798					TURN.07g198080.m01.polypeptide							
OG0040799					TURN.07g198090.m01.polypeptide							
OG0040800					TURN.07g198120.m01.polypeptide							
OG0040801					TURN.07g198380.m01.polypeptide							
OG0040802					TURN.07g199080.m01.polypeptide							
OG0040803					TURN.07g199100.m01.polypeptide							
OG0040804					TURN.07g199210.m01.polypeptide							
OG0040805					TURN.07g199240.m01.polypeptide							
OG0040806					TURN.07g199340.m01.polypeptide							
OG0040807					TURN.07g199400.m01.polypeptide							
OG0040808					TURN.07g199520.m01.polypeptide							
OG0040809					TURN.07g199670.m01.polypeptide							
OG0040810					TURN.07g199730.m01.polypeptide							
OG0040811					TURN.07g200190.m01.polypeptide							
OG0040812					TURN.07g200360.m01.polypeptide							
OG0040813					TURN.07g200370.m01.polypeptide							
OG0040814					TURN.07g200610.m01.polypeptide							
OG0040815					TURN.07g200700.m01.polypeptide							
OG0040816					TURN.07g200750.m01.polypeptide							
OG0040817					TURN.07g200890.m01.polypeptide							
OG0040818					TURN.07g200940.m01.polypeptide							
OG0040819					TURN.07g201030.m01.polypeptide							
OG0040820					TURN.07g201290.m01.polypeptide							
OG0040821					TURN.07g201300.m01.polypeptide							
OG0040822					TURN.07g201310.m01.polypeptide							
OG0040823					TURN.07g201390.m01.polypeptide							
OG0040824					TURN.07g201820.m01.polypeptide							
OG0040825					TURN.07g201870.m01.polypeptide							
OG0040826					TURN.07g201880.m01.polypeptide							
OG0040827					TURN.07g202330.m01.polypeptide							
OG0040828					TURN.07g202340.m01.polypeptide							
OG0040829					TURN.07g202620.m01.polypeptide							
OG0040830					TURN.07g202630.m01.polypeptide							
OG0040831					TURN.07g202640.m01.polypeptide							
OG0040832					TURN.07g202890.m01.polypeptide							
OG0040833					TURN.07g203370.m01.polypeptide							
OG0040834					TURN.07g203440.m01.polypeptide							
OG0040835					TURN.07g203450.m01.polypeptide							
OG0040836					TURN.07g203550.m01.polypeptide							
OG0040837					TURN.07g203580.m01.polypeptide							
OG0040838					TURN.07g203790.m01.polypeptide							
OG0040839					TURN.07g203830.m01.polypeptide							
OG0040840					TURN.07g203850.m01.polypeptide							
OG0040841					TURN.07g204800.m01.polypeptide							
OG0040842					TURN.07g204810.m01.polypeptide							
OG0040843					TURN.07g204830.m01.polypeptide							
OG0040844					TURN.07g204840.m01.polypeptide							
OG0040845					TURN.08g205120.m01.polypeptide							
OG0040846					TURN.08g205450.m01.polypeptide							
OG0040847					TURN.08g205460.m01.polypeptide							
OG0040848					TURN.08g205580.m01.polypeptide							
OG0040849					TURN.08g205600.m01.polypeptide							
OG0040850					TURN.08g205610.m01.polypeptide							
OG0040851					TURN.08g206230.m01.polypeptide							
OG0040852					TURN.08g206240.m01.polypeptide							
OG0040853					TURN.08g206310.m01.polypeptide							
OG0040854					TURN.08g206360.m01.polypeptide							
OG0040855					TURN.08g206830.m01.polypeptide							
OG0040856					TURN.08g206850.m01.polypeptide							
OG0040857					TURN.08g206860.m01.polypeptide							
OG0040858					TURN.08g206970.m01.polypeptide							
OG0040859					TURN.08g207000.m01.polypeptide							
OG0040860					TURN.08g207050.m01.polypeptide							
OG0040861					TURN.08g207120.m01.polypeptide							
OG0040862					TURN.08g207300.m01.polypeptide							
OG0040863					TURN.08g207350.m01.polypeptide							
OG0040864					TURN.08g207550.m01.polypeptide							
OG0040865					TURN.08g207580.m01.polypeptide							
OG0040866					TURN.08g207600.m01.polypeptide							
OG0040867					TURN.08g208150.m01.polypeptide							
OG0040868					TURN.08g208160.m01.polypeptide							
OG0040869					TURN.08g208390.m01.polypeptide							
OG0040870					TURN.08g208430.m01.polypeptide							
OG0040871					TURN.08g208530.m01.polypeptide							
OG0040872					TURN.08g208780.m01.polypeptide							
OG0040873					TURN.08g208850.m01.polypeptide							
OG0040874					TURN.08g209090.m01.polypeptide							
OG0040875					TURN.08g209310.m01.polypeptide							
OG0040876					TURN.08g209360.m01.polypeptide							
OG0040877					TURN.08g209390.m01.polypeptide							
OG0040878					TURN.08g209400.m01.polypeptide							
OG0040879					TURN.08g209480.m01.polypeptide							
OG0040880					TURN.08g209540.m01.polypeptide							
OG0040881					TURN.08g209710.m01.polypeptide							
OG0040882					TURN.08g209930.m01.polypeptide							
OG0040883					TURN.08g210040.m01.polypeptide							
OG0040884					TURN.08g210060.m01.polypeptide							
OG0040885					TURN.08g210080.m01.polypeptide							
OG0040886					TURN.08g210110.m01.polypeptide							
OG0040887					TURN.08g210290.m01.polypeptide							
OG0040888					TURN.08g210360.m01.polypeptide							
OG0040889					TURN.08g210430.m01.polypeptide							
OG0040890					TURN.08g210450.m01.polypeptide							
OG0040891					TURN.08g210480.m01.polypeptide							
OG0040892					TURN.08g210490.m01.polypeptide							
OG0040893					TURN.08g210550.m01.polypeptide							
OG0040894					TURN.08g210560.m01.polypeptide							
OG0040895					TURN.08g210590.m01.polypeptide							
OG0040896					TURN.08g210690.m01.polypeptide							
